Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","1220 holder",36.810000,-13.190000,180.000000,top
"C9","10uF","C_0402_1005Metric",42.980000,-27.270000,90.000000,top
"C10",".1uF","C_0402_1005Metric",51.650000,-9.880000,180.000000,top
"C11","1uF","C_0402_1005Metric",51.680000,-8.780000,180.000000,top
"C12","0.1uF","C_0402_1005Metric",36.190000,-39.890000,0.000000,top
"C15","22uF","C_0603_1608Metric",34.800000,-22.820000,90.000000,top
"C16",".1uF","C_0402_1005Metric",40.420000,-22.460000,-90.000000,top
"C17","0.1uF","C_0402_1005Metric",39.350000,-39.980000,180.000000,top
"C20","10uF","C_0603_1608Metric",51.150000,-11.220000,180.000000,top
"C21","0.1uF","C_0402_1005Metric",53.230000,-9.330000,-90.000000,top
"C22","0.1u","C_0402_1005Metric",6.870000,-68.480000,-90.000000,top
"C24","0.1uF","C_0402_1005Metric",31.360000,-54.090000,180.000000,top
"C25","0.1uF","C_0402_1005Metric",31.350000,-55.170000,180.000000,top
"C26","0.1uF","C_0402_1005Metric",31.300000,-60.410000,180.000000,top
"C27","0.1uF","C_0402_1005Metric",31.310000,-61.540000,180.000000,top
"C28","1uF","C_0402_1005Metric",41.610000,-22.490000,-90.000000,top
"C29","22uF","C_0603_1608Metric",56.130000,-5.790000,0.000000,top
"C44","1u","C_0402_1005Metric",7.950000,-72.070000,90.000000,top
"D1","LED","D_0603_1608Metric",5.150000,-61.170000,0.000000,top
"D2","D_Schottky","D_1206_3216Metric",44.390000,-29.630000,0.000000,top
"IC3","REF3450IDBVR","REF3450IDBVR",37.740000,-22.840000,180.000000,top
"IC6","TXB0108PWR","SOP65P640X120-20N",37.495000,-44.180000,0.000000,top
"IC7","REF3425IDBVR","REF3425IDBVR",52.200000,-6.400000,0.000000,top
"J1","Conn_02x23_Counter_Clockwise","aaren_mouser_db44_screws",50.460000,-55.869000,90.000000,top
"J3","Mezzanine Edge","Double Sided Mezzanine Card Edge_Edge Side",0.000000,-34.875000,0.000000,top
"PS1","TRS_2-1211","CONV_TRS_2-2419",34.690000,-31.610000,0.000000,top
"Q3","BSS138","SOT-23-3",3.852500,-72.150000,0.000000,top
"R8","330","R_0402_1005Metric",4.840000,-62.870000,0.000000,top
"R9","52.5","R_0402_1005Metric",46.030000,-54.660000,0.000000,top
"R10","52.5","R_0402_1005Metric",46.030000,-60.960000,0.000000,top
"R19","5k","R_0402_1005Metric",4.230000,-68.410000,90.000000,top
"R20","1k","R_0402_1005Metric",6.480000,-73.640000,90.000000,top
"R54","20R","R_0402_1005Metric",26.780000,-22.960000,0.000000,top
"R55","20R","R_0402_1005Metric",11.360000,-25.270000,0.000000,top
"R56","20R","R_0402_1005Metric",24.240000,-28.250000,-90.000000,top
"R57","20R","R_0402_1005Metric",11.400000,-26.720000,0.000000,top
"T1","749013011","749013011",38.770000,-57.840000,-90.000000,top
"U1","DEV-16771","MODULE_DEV-16771",16.600000,-42.380000,90.000000,top
"U2","TPS22915BYFPR","YFP0004AAAA",5.560000,-68.690000,180.000000,top
