Designator,Mid X,Mid Y,Layer,Rotation
BT1,36.8100,-13.1900,Top,180.00
C1,41.3500,-10.2500,Bottom,180.00
C10,51.6500,-9.8800,Top,180.00
C11,51.6800,-8.7800,Top,180.00
C12,36.1900,-39.8900,Top,0.00
C13,41.8000,-13.7300,Bottom,0.00
C14,63.7200,-7.3400,Bottom,90.00
C15,34.8000,-22.8200,Top,90.00
C16,40.4200,-22.4600,Top,-90.00
C17,39.3500,-39.9800,Top,180.00
C18,63.2200,-28.3800,Bottom,-90.00
C19,59.0300,-7.3300,Bottom,90.00
C2,33.3100,-12.5900,Bottom,90.00
C20,51.1500,-11.2200,Top,180.00
C21,53.2300,-9.3300,Top,-90.00
C22,6.8700,-68.4800,Top,-90.00
C23,48.0060,-12.1920,Bottom,180.00
C24,31.3600,-54.0900,Top,180.00
C25,31.3500,-55.1700,Top,180.00
C26,31.3000,-60.4100,Top,180.00
C27,31.3100,-61.5400,Top,180.00
C28,41.6100,-22.4900,Top,-90.00
C29,56.1300,-5.7900,Top,0.00
C3,35.7200,-14.1600,Bottom,180.00
C30,31.9700,-10.2000,Bottom,-90.00
C31,27.8300,-29.8100,Bottom,180.00
C32,28.3600,-28.4500,Bottom,180.00
C33,30.3300,-30.2300,Bottom,0.00
C34,30.3300,-29.1900,Bottom,0.00
C35,33.2300,-30.0300,Bottom,0.00
C36,33.7600,-28.7500,Bottom,0.00
C37,27.6400,-19.6000,Bottom,90.00
C38,26.3200,-19.0300,Bottom,90.00
C39,29.1400,-20.0600,Bottom,180.00
C4,41.3500,-11.4000,Bottom,180.00
C40,29.2600,-19.0100,Bottom,180.00
C41,61.2800,-38.3600,Bottom,0.00
C42,48.5140,-10.6680,Bottom,180.00
C43,32.8700,-40.7500,Bottom,-90.00
C44,7.9500,-72.0700,Top,90.00
C45,44.6950,-33.1025,Bottom,0.00
C46,46.3025,-30.2050,Bottom,-90.00
C47,32.9375,-38.6800,Bottom,90.00
C48,42.3750,-33.1425,Bottom,180.00
C49,44.7425,-29.6150,Bottom,180.00
C5,60.3100,-28.5000,Bottom,-90.00
C50,44.4025,-20.7125,Bottom,0.00
C51,44.4225,-39.1950,Bottom,0.00
C52,47.2175,-23.6300,Bottom,-90.00
C53,42.1625,-20.7425,Bottom,180.00
C54,42.2025,-39.1850,Bottom,180.00
C55,46.0975,-23.6200,Bottom,-90.00
C56,44.4500,-26.4825,Bottom,0.00
C57,29.5000,-40.5900,Bottom,-90.00
C58,48.1400,-18.1300,Bottom,-90.00
C59,42.2700,-26.4725,Bottom,180.00
C6,61.3800,-28.5100,Bottom,-90.00
C60,29.5225,-38.4700,Bottom,90.00
C61,46.5575,-17.6075,Bottom,180.00
C62,48.0425,-36.1000,Bottom,-90.00
C63,46.5025,-35.6900,Bottom,180.00
C64,33.3700,-9.9800,Bottom,-90.00
C66,59.4200,-36.8800,Bottom,0.00
C7,61.6400,-36.9700,Bottom,0.00
C8,57.9200,-33.9500,Bottom,-90.00
C9,42.9800,-26.7700,Top,90.00
D1,5.1500,-61.1700,Top,0.00
D2,44.3900,-29.6300,Top,0.00
IC1,37.0000,-11.0100,Bottom,180.00
IC2,61.1100,-33.2000,Bottom,-90.00
IC3,37.7400,-22.8400,Top,180.00
IC4,62.5300,-11.8100,Bottom,90.00
IC5,57.9200,-11.7600,Bottom,90.00
IC6,37.4950,-44.1800,Top,0.00
IC7,52.2000,-6.4000,Top,0.00
IC8,50.5200,-7.3800,Bottom,180.00
IC9,30.8600,-24.2900,Bottom,90.00
J1,50.4600,-55.8690,Top,90.00
J3,0.0000,-34.8750,Top,0.00
PS1,34.6900,-31.6100,Top,0.00
Q1,60.3400,-54.0000,Bottom,0.00
Q2,60.3500,-48.9700,Bottom,0.00
Q3,3.8525,-72.1500,Top,0.00
R1,62.6900,-17.2200,Bottom,180.00
R10,46.0300,-60.9600,Top,0.00
R11,57.5800,-55.3700,Bottom,90.00
R12,57.6700,-50.5000,Bottom,90.00
R13,61.9760,-20.0660,Bottom,0.00
R14,63.7286,-20.5232,Bottom,-90.00
R15,62.0014,-21.1836,Bottom,0.00
