Designator,Mid X,Mid Y,Layer,Rotation
BT1,37.2110,-13.3858,Top,180.00
C1,41.3500,-10.2500,Bottom,180.00
C10,45.9766,-18.1610,Bottom,0.00
C11,44.3230,-20.9016,Bottom,90.00
C12,36.1900,-39.8900,Top,0.00
C13,41.8000,-13.7300,Bottom,0.00
C14,62.1532,-7.6196,Bottom,180.00
C15,30.8200,-33.5800,Bottom,180.00
C16,33.0100,-37.2500,Bottom,90.00
C17,39.3500,-39.9800,Top,180.00
C18,63.2200,-28.3800,Bottom,-90.00
C19,57.8410,-5.2168,Bottom,180.00
C2,33.3100,-12.5900,Bottom,90.00
C20,51.1500,-11.2200,Bottom,0.00
C21,53.3654,-11.2548,Bottom,-90.00
C22,12.5300,-69.7900,Bottom,-90.00
C23,48.0060,-12.1920,Bottom,180.00
C24,31.3600,-54.0900,Top,180.00
C25,31.3500,-55.1700,Top,180.00
C26,31.3000,-60.4100,Top,180.00
C27,31.3100,-61.5400,Top,180.00
C28,34.0500,-37.2100,Bottom,90.00
C29,42.1894,-25.1460,Bottom,90.00
C3,35.7200,-14.1600,Bottom,180.00
C30,31.9700,-10.2000,Bottom,-90.00
C31,27.8300,-29.8100,Bottom,180.00
C32,28.3600,-28.4500,Bottom,180.00
C33,30.3300,-30.2300,Bottom,0.00
C34,30.3300,-29.1900,Bottom,0.00
C35,33.2300,-30.0300,Bottom,0.00
C36,33.7600,-28.7500,Bottom,0.00
C37,27.6400,-19.6000,Bottom,90.00
C39,29.1400,-20.0600,Bottom,180.00
C4,41.3500,-11.4000,Bottom,180.00
C40,29.2600,-19.0100,Bottom,180.00
C41,61.2800,-38.3600,Bottom,0.00
C42,48.5140,-10.6680,Bottom,180.00
C43,40.7924,-31.2166,Bottom,90.00
C44,11.5300,-72.4100,Bottom,180.00
C45,45.1358,-37.4904,Bottom,-90.00
C46,39.9996,-17.9524,Bottom,0.00
C47,43.2816,-24.3078,Bottom,-90.00
C48,42.5450,-32.8702,Bottom,90.00
C49,36.9544,-34.6710,Bottom,0.00
C5,60.3100,-28.5000,Bottom,-90.00
C50,44.9834,-27.9908,Bottom,0.00
C6,61.3800,-28.5100,Bottom,-90.00
C64,33.3700,-9.9800,Bottom,-90.00
C66,59.4200,-36.8800,Bottom,0.00
C7,61.6400,-36.9700,Bottom,0.00
C8,57.9200,-33.9500,Bottom,-90.00
C9,45.8600,-33.8100,Top,0.00
D1,48.6156,-19.8882,Bottom,-90.00
D10,37.3888,-37.1000,Bottom,90.00
D11,44.8056,-35.8140,Top,0.00
D2,46.4566,-22.3012,Bottom,-90.00
D3,46.4312,-25.6286,Bottom,90.00
D4,44.0944,-30.7340,Bottom,90.00
D5,48.4378,-37.5285,Bottom,90.00
D6,45.6946,-20.6121,Bottom,90.00
D7,46.4312,-23.7871,Bottom,90.00
D8,46.5582,-29.0449,Bottom,-90.00
D9,45.7962,-33.1597,Bottom,-90.00
IC1,37.0000,-11.0100,Bottom,180.00
IC10,15.7100,-71.8075,Bottom,180.00
IC2,61.1100,-33.2000,Bottom,-90.00
IC3,29.6800,-36.4400,Bottom,180.00
IC4,62.1050,-11.4550,Bottom,90.00
IC5,57.8866,-9.0678,Bottom,90.00
IC6,37.4950,-44.1800,Top,0.00
IC7,56.4000,-59.5700,Bottom,90.00
IC8,50.5200,-7.3800,Bottom,180.00
IC9,30.8600,-24.2900,Bottom,90.00
J1,50.4600,-55.8690,Top,90.00
J2,0.5000,-34.8000,Top,0.00
L1,44.3484,-30.6324,Top,0.00
PS1,34.6900,-31.6100,Top,0.00
Q1,59.8279,-54.4853,Bottom,90.00
Q2,60.0057,-47.8305,Bottom,90.00
R1,62.0542,-15.3158,Bottom,180.00
R10,46.0300,-60.9600,Top,0.00
R11,57.5655,-51.9179,Bottom,90.00
R12,57.6555,-47.0479,Bottom,90.00
R13,62.1100,-23.5800,Bottom,90.00
R14,63.2308,-22.0974,Bottom,90.00
R15,63.2308,-19.9638,Bottom,90.00
R16,63.2308,-17.8810,Bottom,90.00
R17,60.8200,-22.2900,Bottom,90.00
R18,60.8454,-20.1310,Bottom,90.00
R19,18.4200,-73.4800,Bottom,-90.00
R2,57.8872,-14.1264,Bottom,180.00
R20,20.0800,-72.2400,Bottom,0.00
R21,46.0228,-19.2786,Bottom,0.00
R22,44.8310,-22.4790,Bottom,0.00
R23,44.8544,-25.5016,Bottom,0.00
R24,42.4942,-30.6324,Bottom,0.00
R25,46.6598,-37.0840,Bottom,0.00
R26,40.0358,-19.0218,Bottom,0.00
R27,44.8818,-23.8252,Bottom,0.00
R28,44.1452,-33.2994,Bottom,0.00
R29,36.9544,-35.7886,Bottom,0.00
R3,62.0796,-16.4080,Bottom,180.00
R30,44.9834,-29.2354,Bottom,0.00
R31,26.7462,-26.3906,Bottom,90.00
R32,44.8056,-4.5466,Bottom,0.00
R33,58.7300,-59.4400,Bottom,-90.00
R4,57.9126,-13.0596,Bottom,180.00
R42,22.3774,-37.1856,Bottom,180.00
R43,11.1850,-35.7400,Bottom,180.00
R45,23.4300,-20.2800,Bottom,90.00
R46,22.0200,-20.4900,Bottom,90.00
R47,26.3800,-8.8500,Bottom,180.00
R48,26.2100,-38.3700,Bottom,90.00
R49,55.2350,-21.8017,Bottom,60.00
R5,60.0565,-57.3047,Bottom,180.00
R50,56.2400,-20.0600,Bottom,60.00
R51,56.6300,-18.0400,Bottom,60.00
R52,57.0200,-16.0000,Bottom,60.00
R53,56.1900,-22.3500,Bottom,60.00
R54,57.2800,-20.5900,Bottom,60.00
R55,26.7800,-22.9600,Top,0.00
R56,11.3600,-25.2700,Top,0.00
R57,24.2400,-28.2500,Top,-90.00
R58,11.4000,-26.7200,Top,0.00
R6,59.6013,-50.4721,Bottom,180.00
R7,25.2200,-21.2000,Bottom,180.00
R8,19.0500,-70.4800,Bottom,180.00
