Reference,Val,Package,Mid X,Mid Y,Rotation,Layer
BConv1,TPSM83100SIUR,TPSM83100SIUR,126.2,-106.4,-90,top
C1,22uF,C_0603_1608Metric,127.72,-102.715,-90,top
C2,47uF,C_0603_1608Metric,125.09,-102.815,90,top
C3,0.1uF,C_0603_1608Metric,99.99,-115,180,top
C4,100uF,C_0603_1608Metric,99.99,-113.39,180,top
C5,5uF,C_0603_1608Metric,115.08,-108.23,90,top
C6,5uF,C_0603_1608Metric,109.57,-103.465,180,top
C7,0.1uF,C_0603_1608Metric,102.75,-106.585,90,top
C8,100uF,C_0603_1608Metric,101.04,-106.595,90,top
C9,0.1uF,C_0603_1608Metric,105.51,-104.25,90,top
C10,100uF,C_0603_1608Metric,107.08,-104.24,90,top
C11,0.1uF,C_0603_1608Metric,121.2,-115.87,0,top
C12,100uF,C_0603_1608Metric,121.22,-117.46,0,top
C13,0.1uF,C_0603_1608Metric,119.9575,-110.735,90,top
C14,100uF,C_0603_1608Metric,121.5375,-110.73,90,top
D8,Schottky,D_0603_1608Metric,96.71,-116.99,90,top
DAC1,AD5626BRMZ,AD5626,117.93,-115.45,-90,top
InstrAmp1,INA821IDGKT,INA821,123.78,-121.07,180,top
J1,GenConn3,MOLEX_2pinSMD,133.25,-106.495,-90,top
J2,GenConn1,MOLEX_2pinSMD,133.36,-132.115,-90,top
J3,GenConn2,MOLEX_2pinSMD,133.38,-120.825,-90,top
LinReg1,AP2120N-5.0TRG1,SOT91P240X110-3N,98.225,-108.78,180,top
LinReg2,AP2120N-5.0TRG1,SOT91P240X110-3N,126.27,-133.96,180,top
LinReg3,AP2120N-5.0TRG1,SOT91P240X110-3N,124.2475,-112.455,0,top
R1,806k,R_0805_2012Metric,122.83,-106.37,-90,top
R2,80.6k,R_0603_1608Metric,126.045,-109.37,0,top
R3,47,R_0603_1608Metric,102.94,-113.66,-90,top
R4,47,R_0603_1608Metric,104.54,-114.315,-90,top
R5,47,R_0603_1608Metric,112.43,-115.5,-90,top
R6,47,R_0603_1608Metric,106.38,-115.5,-90,top
R7,47,R_0603_1608Metric,114.1,-114.065,-90,top
R8,24.7,R_0603_1608Metric,128.38,-121.09,90,top
TVS1,1.5KExxA,D_0603_1608Metric,94.02,-117.76,180,top
U1,ADS1120,SOP65P640X120-16N,109.32,-111.14,180,top
U2,102010388,MODULE_102010388,104.3,-127.8075,90,top
Vref1,REF7050QDGKR,REF70,111.09,-106.14,180,top
