Designator,Mid X,Mid Y,Layer,Rotation
C1,136.1900,-83.9000,Top,180.00
C10,138.1950,-84.0550,Top,180.00
C11,148.9000,-66.9700,Top,-90.00
C14,129.7900,-106.6500,Top,0.00
C15,136.5500,-106.6800,Top,180.00
C16,129.7575,-97.4200,Top,0.00
C2,136.1900,-82.8000,Top,180.00
C20,144.2760,-79.4200,Top,90.00
C21,144.2760,-77.4700,Top,-90.00
C23,134.9760,-76.7200,Top,180.00
C24,134.9760,-77.9200,Top,0.00
C25,127.9200,-67.0500,Top,0.00
C26,127.9300,-68.2500,Top,0.00
C27,90.4900,-89.4000,Top,-90.00
C28,89.2900,-89.4000,Top,-90.00
C29,91.6900,-89.4000,Top,-90.00
C3,135.9700,-93.7500,Top,180.00
C30,92.8900,-89.4000,Top,-90.00
C36,71.9328,-84.8440,Top,-90.00
C37,72.9328,-84.8440,Top,-90.00
C39,81.1358,-81.0008,Top,180.00
C4,135.9800,-94.9400,Top,180.00
C40,82.9800,-90.6100,Top,0.00
C41,82.9600,-89.5000,Top,0.00
C42,82.5400,-104.8700,Top,0.00
C43,82.0900,-107.3000,Top,90.00
C44,129.8100,-101.2600,Top,0.00
C45,136.5875,-97.3900,Top,180.00
C46,136.6700,-101.2600,Top,180.00
C5,133.6500,-94.2100,Top,180.00
C6,133.6600,-95.4500,Top,180.00
C7,134.2010,-84.5580,Top,0.00
C8,134.2010,-83.4580,Top,0.00
C9,138.1950,-83.0550,Top,180.00
IC1,133.1975,-105.6000,Top,180.00
IC2,117.7544,-64.2112,Top,90.00
IC6,76.0378,-83.4940,Top,-90.00
IC7,133.1800,-98.4400,Top,0.00
IC8,133.2500,-102.2800,Top,0.00
J1,138.7760,-112.8700,Top,0.00
J10,70.0460,-112.8400,Bottom,-90.00
J3,65.5592,-99.2124,Top,-90.00
J4,141.2760,-84.1200,Top,0.00
J5,77.4192,-99.2124,Top,90.00
J6,75.0500,-78.1500,Top,180.00
J7,80.2640,-65.0748,Top,0.00
J8,145.8760,-93.4950,Top,-90.00
L1,125.2400,-70.6100,Top,180.00
L2,80.7112,-84.1240,Top,0.00
PS1,124.9900,-78.8200,Top,-90.00
PS2,139.5760,-68.5700,Top,180.00
Q1,68.4000,-89.6000,Top,90.00
R1,81.1378,-82.0640,Top,180.00
R10,66.4412,-89.3760,Top,90.00
R12,73.4060,-81.6356,Top,-90.00
R15,63.5100,-89.9600,Top,90.00
R17,72.4328,-83.2390,Top,0.00
R2,68.6300,-87.2200,Top,0.00
R4,70.7136,-84.8360,Top,-90.00
R5,96.4730,-89.6187,Top,90.00
R6,98.3730,-90.8187,Top,-90.00
R7,98.9730,-89.2187,Top,0.00
R8,69.3928,-84.8868,Top,90.00
U$1,77.9625,-99.1700,Top,-90.00
U1,135.7010,-89.0580,Top,-90.00
U4,139.2916,-78.1200,Top,180.00
