Ref,Val,Package,PosX,PosY,Rot,Side
"J10","Conn_02x20_Odd_Even","PinHeader_2x20_P2.54mm_Vertical",70.046000,-112.840000,-90.000000,bottom
"C1","0.1uF","C_0402_1005Metric",136.190000,-83.900000,180.000000,top
"C2","1uF","C_0402_1005Metric",136.190000,-82.800000,180.000000,top
"C3","0.1uF","C_0402_1005Metric",135.970000,-93.750000,180.000000,top
"C4","1uF","C_0402_1005Metric",135.980000,-94.940000,180.000000,top
"C5","0.1uF","C_0402_1005Metric",133.650000,-94.210000,180.000000,top
"C6","10uF","C_0402_1005Metric",133.660000,-95.450000,180.000000,top
"C7","0.1uF","C_0402_1005Metric",134.201000,-84.558000,0.000000,top
"C8","1uF","C_0402_1005Metric",134.201000,-83.458000,0.000000,top
"C9","10uF","C_0402_1005Metric",138.195000,-83.055000,180.000000,top
"C10","0.1uF","C_0402_1005Metric",138.195000,-84.055000,180.000000,top
"C11","0.1uF","C_0402_1005Metric",148.900000,-66.970000,-90.000000,top
"C14","0.1uF","C_0402_1005Metric",129.790000,-106.650000,0.000000,top
"C15","0.1uF","C_0402_1005Metric",136.550000,-106.680000,180.000000,top
"C16","0.1uF","C_0402_1005Metric",129.757500,-97.420000,0.000000,top
"C20","0.1uF","C_0402_1005Metric",144.276000,-79.420000,90.000000,top
"C21","0.1uF","C_0402_1005Metric",144.276000,-77.470000,-90.000000,top
"C23","0.1uF","C_0402_1005Metric",134.976000,-76.720000,180.000000,top
"C24","1uF","C_0402_1005Metric",134.976000,-77.920000,0.000000,top
"C25","10uF","C_0402_1005Metric",127.920000,-67.050000,0.000000,top
"C26","4.7uF","C_0402_1005Metric",127.930000,-68.250000,0.000000,top
"C27","0.1uF","C_0402_1005Metric",90.490000,-89.400000,-90.000000,top
"C28","10uF","C_0402_1005Metric",89.290000,-89.400000,-90.000000,top
"C29","47pF","C_0402_1005Metric",91.690000,-89.400000,-90.000000,top
"C30","8.2pF","C_0402_1005Metric",92.890000,-89.400000,-90.000000,top
"C36","10uF","C_0402_1005Metric",71.932800,-84.844000,-90.000000,top
"C37","10uF","C_0402_1005Metric",72.932800,-84.844000,-90.000000,top
"C39","15pF","C_0402_1005Metric",81.135800,-81.000800,180.000000,top
"C40","10uF","C_0402_1005Metric",82.980000,-90.610000,0.000000,top
"C41","10uF","C_0402_1005Metric",82.960000,-89.500000,0.000000,top
"C42","10uF","C_0402_1005Metric",82.540000,-104.870000,0.000000,top
"C43","10uF","C_0402_1005Metric",82.090000,-107.300000,90.000000,top
"C44","0.1uF","C_0402_1005Metric",129.810000,-101.260000,0.000000,top
"C45","0.1uF","C_0402_1005Metric",136.587500,-97.390000,180.000000,top
"C46","0.1uF","C_0402_1005Metric",136.670000,-101.260000,180.000000,top
"IC1","SN74LVC2T45DCTTG4","VSSOP-8_2.4x2.1mm_P0.5mm",133.197500,-105.600000,180.000000,top
"IC2","XBP9X-DMUS-011","RLS397",117.754400,-64.211200,90.000000,top
"IC6","AP3441LSHE-7B","AP3441LSHE7B",76.037800,-83.494000,-90.000000,top
"IC7","SN74LVC2T45DCTTG4","VSSOP-8_2.4x2.1mm_P0.5mm",133.180000,-98.440000,0.000000,top
"IC8","SN74LVC2T45DCTTG4","VSSOP-8_2.4x2.1mm_P0.5mm",133.250000,-102.280000,0.000000,top
"J1","Conn_01x10","908160010",138.776000,-112.870000,0.000000,top
"J3","Conn_01x16","ZF5S1601TWT",65.559200,-99.212400,-90.000000,top
"J4","Conn_01x01_Pin","PinHeader_1x01_P1.00mm_Vertical",141.276000,-84.120000,0.000000,top
"J5","MDT275M02001","MDT275M02001",77.419200,-99.212400,90.000000,top
"J6","Conn_01x02","JST_VH_B2PS-VH_1x02_P3.96mm_Horizontal",75.050000,-78.150000,180.000000,top
"J7","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",80.264000,-65.074800,0.000000,top
"J8","Conn_01x12","908160012",145.876000,-93.495000,-90.000000,top
"L1","3.9uH","L_1210_3225Metric",125.240000,-70.610000,180.000000,top
"L2","2.2uH","L_1008_2520Metric",80.711200,-84.124000,0.000000,top
"PS1","R-78B3.3-1.5L","CONV_R-78B3.3-1.5",124.990000,-78.820000,-90.000000,top
"PS2","R2D12-0509","R2D120509",139.576000,-68.570000,180.000000,top
"Q1","DMG1012T-7","SOT50P160X90-3N",68.400000,-89.600000,90.000000,top
"R1","10k","R_0402_1005Metric",81.137800,-82.064000,180.000000,top
"R2","2.2k","R_0402_1005Metric",68.630000,-87.220000,0.000000,top
"R4","3k6","R_0402_1005Metric",70.713600,-84.836000,-90.000000,top
"R5","68","R_0402_1005Metric",96.473000,-89.618700,90.000000,top
"R6","68","R_0402_1005Metric",98.373000,-90.818700,-90.000000,top
"R7","100k","R_0402_1005Metric",98.973000,-89.218700,0.000000,top
"R8","6k8","R_0402_1005Metric",69.392800,-84.886800,90.000000,top
"R10","33","R_0402_1005Metric",66.441200,-89.376000,90.000000,top
"R12","45k","R_0402_1005Metric",73.406000,-81.635600,-90.000000,top
"R15","100k","R_0402_1005Metric",63.510000,-89.960000,90.000000,top
"R17","10k","R_0402_1005Metric",72.432800,-83.239000,0.000000,top
"U$1","M.2-B+M-KEY","M.2-B+M-KEY",77.962500,-99.170000,-90.000000,top
"U1","AD7175-2BRUZ","SOP65P640X120-24N",135.701000,-89.058000,-90.000000,top
"U4","LT6658AHMSE-5-PBF","LT6658AHMSE-2.5-PBF",139.291600,-78.119999,180.000000,top
