Comment,Designator,Footprint,LCSC
"0.1uF","C1,C3,C5,C7,C10,C11,C14,C15,C16,C20,C21,C23,C27,C44,C45,C46","Capacitor_SMD:C_0402_1005Metric","C1525"
"1uF","C2,C4,C8,C24","Capacitor_SMD:C_0402_1005Metric","C52923"
"4.7uF","C26","Capacitor_SMD:C_0402_1005Metric","C23733"
"47pF","C29","Capacitor_SMD:C_0402_1005Metric","C1567"
"8.2pF","C30","Capacitor_SMD:C_0402_1005Metric","C1547"
"15pF","C39","Capacitor_SMD:C_0402_1005Metric","C1547"
"10uF","C6,C9,C25,C28,C36,C37,C40,C41,C42,C43","Capacitor_SMD:C_0402_1005Metric","C1525"
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_2.5mm",""
"AP3441LSHE-7B","IC6","21xt_footprints:AP3441LSHE7B","C2072094"
"DMG1012T-7","Q1","21xt_footprints:SOT50P160X90-3N","C20512"
"10k","R1,R17","Resistor_SMD:R_0402_1005Metric","C25744"
"33","R10","Resistor_SMD:R_0402_1005Metric","C25105"
"45k","R12","Resistor_SMD:R_0402_1005Metric","C25792"
"100k","R7,R15","Resistor_SMD:R_0402_1005Metric","C25741"
"2.2k","R2","Resistor_SMD:R_0402_1005Metric","C4109"
"3k6","R4","Resistor_SMD:R_0402_1005Metric","C25890"
"68","R5,R6","Resistor_SMD:R_0402_1005Metric","C25123"
"6k8","R8","Resistor_SMD:R_0402_1005Metric","C25905"
