Ref,Val,Package,PosX,PosY,Rot,Side
"1u (10v)","1u (10V)","R_0402_1005Metric",116.000000,-82.087500,90.000000,top
"4.7u","4.7u","R_0402_1005Metric",117.740000,-78.287500,180.000000,top
"4.7u","4.7u","R_0402_1005Metric",121.310000,-81.017500,-90.000000,top
"10k","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",117.180000,-83.447500,-90.000000,top
"55k","55k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",119.247500,-79.397500,180.000000,top
"Bip-DAC (AD5761R)","AD5721RBRUZ","AD5721",129.560000,-78.800000,0.000000,top
"C1","10u","R_0402_1005Metric",125.110000,-77.380000,-90.000000,top
"C4","2.2u","R_0402_1005Metric",121.500000,-83.217500,90.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.00mm_Vertical",132.420000,-89.260000,-90.000000,top
"J2","Conn_01x01","PinHeader_1x01_P2.00mm_Vertical",121.900000,-76.800000,0.000000,top
"PS1","LM27762DSSR","LM27762DSST",119.240000,-81.732500,180.000000,top
"R2","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",120.220000,-84.717500,-90.000000,top
"R5","172k","R_0603_1608Metric",116.225000,-79.877500,180.000000,top
