Designator,Mid X,Mid Y,Layer,Rotation
C1,42.5800,-1.9300,Top,0.00
C2,41.5500,-20.7300,Top,0.00
C3,36.0200,-25.9500,Top,90.00
C4,41.1900,-26.9000,Top,-90.00
C5,42.3300,-26.8900,Top,-90.00
C6,38.0100,-7.5100,Top,-90.00
C8,15.5200,-2.3900,Top,90.00
C9,41.9500,-14.1200,Top,-90.00
IC1,35.6000,-3.7900,Top,90.00
IC2,42.0700,-23.0300,Top,180.00
IC3,42.5200,-5.6700,Top,90.00
IC4,26.2000,-3.5850,Top,0.00
J1,48.8500,-9.7500,Top,180.00
J2,5.1900,-4.4700,Top,0.00
J3,1.4800,-17.4900,Top,90.00
J4,36.7700,-22.9500,Top,180.00
PS1,38.4500,-26.5300,Top,180.00
PS2,17.4100,-6.3200,Top,-90.00
R1,27.3300,-7.4900,Top,0.00
R10,10.4300,-9.6900,Top,-90.00
R11,10.4300,-11.7700,Top,-90.00
R12,20.4500,-27.7900,Top,180.00
R13,9.7200,-22.0000,Top,-90.00
R14,32.2700,-3.6000,Top,-120.00
R16,20.9900,-4.7900,Top,-90.00
R17,21.6100,-7.2200,Top,-90.00
R18,23.1000,-7.5400,Top,180.00
R19,20.2600,-7.2000,Top,-90.00
R2,29.3500,-7.5000,Top,180.00
R3,25.3400,-7.5000,Top,0.00
R4,11.9900,-27.5500,Top,0.00
R5,17.5800,-27.7900,Top,180.00
R6,42.2800,-19.4200,Top,0.00
R7,23.3100,-27.7900,Top,180.00
R8,40.7200,-2.4400,Top,90.00
R9,42.8800,-8.4100,Top,0.00
U1,21.6085,-17.4484,Top,90.00
U2,36.0400,-10.1200,Top,-90.00
