Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","C_0402_1005Metric",42.580000,-1.930000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",41.550000,-20.730000,0.000000,top
"C3","1uF","C_0402_1005Metric",36.020000,-25.950000,90.000000,top
"C4","1uF","C_0402_1005Metric",41.190000,-26.900000,-90.000000,top
"C5","10uF","C_0402_1005Metric",42.330000,-26.890000,-90.000000,top
"C6",".1uF","C_0402_1005Metric",38.010000,-7.510000,-90.000000,top
"C8","47uF","C_0805_2012Metric",15.520000,-2.390000,90.000000,top
"C9","TAJD106M035RNJ","CAPPM7344X310N",41.950000,-14.120000,-90.000000,top
"IC1","ADS1120IRVAR","QFN50P350X350X100-17N-D",35.600000,-3.790000,90.000000,top
"IC2","MCP1502T-50E_CHY","MCP1501-50",42.070000,-23.030000,180.000000,top
"IC3","INA821IDRGR","SON50P300X300X80-9N-D",42.520000,-5.670000,90.000000,top
"IC4","W25N04KVZEIR","SON127P800X600X80-9N-D",26.200000,-3.585000,0.000000,top
"J1","ATF13-4P-BM13","DTF134PG003",48.850000,-9.750000,180.000000,top
"J2","SJ-3541AS-SMT-TR-67","SJ3541ASSMTTR67",5.190000,-4.470000,0.000000,top
"J3","USB_C_Plug_USB2.0","USB_C_PLACE",1.480000,-17.490000,90.000000,top
"J4","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",36.770000,-22.950000,180.000000,top
"PS1","AP2120N-2.5TRG1","SOT91P240X110-3N",38.450000,-26.530000,180.000000,top
"PS2","TPSM83100SIUR","TPSM83100SIUR",17.410000,-6.320000,-90.000000,top
"R1","45.5","R_0402_1005Metric",27.330000,-7.490000,0.000000,top
"R2","45.5","R_0402_1005Metric",29.350000,-7.500000,180.000000,top
"R3","45.5","R_0402_1005Metric",25.340000,-7.500000,0.000000,top
"R4","45.5","R_0402_1005Metric",11.990000,-27.550000,0.000000,top
"R5","45.5","R_0402_1005Metric",17.580000,-27.790000,180.000000,top
"R6","60","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",42.280000,-19.420000,0.000000,top
"R7","45.5","R_0402_1005Metric",23.310000,-27.790000,180.000000,top
"R8","1k","R_0402_1005Metric",40.720000,-2.440000,90.000000,top
"R9","200","R_0402_1005Metric",42.880000,-8.410000,0.000000,top
"R10","80.6k","R_0402_1005Metric",10.430000,-9.690000,-90.000000,top
"R11","806k","R_0402_1005Metric",10.430000,-11.770000,-90.000000,top
"R12","100k","R_0402_1005Metric",20.450000,-27.790000,180.000000,top
"R13","5k","R_0402_1005Metric",9.720000,-22.000000,-90.000000,top
"R14","45.5","R_0402_1005Metric",32.270000,-3.600000,-120.000000,top
"R16","45.5","R_0402_1005Metric",20.990000,-4.790000,-90.000000,top
"R17","45.5","R_0402_1005Metric",21.480000,-7.170000,-90.000000,top
"R18","45.5","R_0402_1005Metric",23.020000,-7.640000,180.000000,top
"R19","45.5","R_0402_1005Metric",20.320000,-7.190000,-90.000000,top
"U1","esp32 c6 xiao","esp32 c6 smt",21.608500,-17.448400,90.000000,top
"U2","AD5626BRMZ","AD5626",36.040000,-10.120000,-90.000000,top
