Designator,Mid X,Mid Y,Layer,Rotation
C1,39.3600,-2.8100,Top,0.00
C10,41.4700,-13.3800,Top,-135.00
C11,40.7400,-12.5900,Top,-135.00
C2,40.9900,-20.6500,Top,0.00
C3,40.4600,-26.2000,Top,90.00
C4,45.6300,-27.1500,Top,-90.00
C5,46.7700,-27.1400,Top,-90.00
C6,38.3200,-6.6000,Top,-125.00
C7,40.0200,-15.7300,Top,90.00
C8,15.5200,-2.3900,Top,90.00
C9,44.2200,-19.3700,Top,180.00
IC1,35.6000,-3.7900,Top,90.00
IC2,42.0700,-23.0300,Top,180.00
IC3,42.3000,-5.7300,Top,90.00
IC4,26.2000,-3.5850,Top,0.00
J1,48.8500,-9.7500,Top,180.00
J2,5.1900,-4.4700,Top,0.00
J3,1.4800,-17.4900,Top,90.00
J4,36.7400,-26.6700,Top,180.00
PS1,42.8900,-26.7800,Top,180.00
PS2,17.4100,-6.3200,Top,-90.00
PS3,42.4600,-16.2100,Top,180.00
R1,27.3300,-7.4900,Top,0.00
R10,10.4300,-9.6900,Top,-90.00
R11,10.4300,-11.7700,Top,-90.00
R12,20.4500,-27.7900,Top,180.00
R13,9.7200,-22.0000,Top,-90.00
R14,32.2700,-3.6000,Top,-120.00
R16,20.9900,-4.7900,Top,-90.00
R17,21.6100,-7.2200,Top,-90.00
R18,23.1000,-7.5400,Top,180.00
R19,20.2600,-7.2000,Top,-90.00
R2,29.3500,-7.5000,Top,180.00
R3,25.3400,-7.5000,Top,0.00
R4,11.9900,-27.5500,Top,0.00
R5,17.5800,-27.7900,Top,180.00
R6,43.1100,-9.5800,Top,180.00
R7,23.3100,-27.7900,Top,180.00
R8,39.3800,-1.7500,Top,180.00
U1,21.6085,-17.4484,Top,90.00
U2,36.0400,-10.1200,Top,-90.00
