Comment,Designator,Footprint,LCSC
"10nF","C1","Capacitor_SMD:C_0402_1005Metric","C15195"
"0.1uF","C2,C6","Capacitor_SMD:C_0402_1005Metric","C1525"
"1uF","C3,C4,C7,C9,C10","Capacitor_SMD:C_0402_1005Metric","C52923"
"10uF","C5,C11","Capacitor_SMD:C_0402_1005Metric","C15525"
"47uF","C8","Capacitor_SMD:C_0805_2012Metric","C16780"
"ADS1120IRVAR","IC1","21xt_footprints:QFN50P350X350X100-17N-D","C701614"
"MCP1502T-50E_CHY","IC2","21xt_footprints:SOT95P280X145-6N","C5236160"
"INA827AIDGK","IC3","21xt_footprints:INA827AIDGK","C2860185"
"W25N04KVZEIR","IC4","21xt_footprints:SON127P800X600X80-9N-D","C5342170"
"AP2120N-2.5TRG1","PS1","21xt_footprints:AP2120N-2.5TRG1","C176947"
"TPSM83100SIUR","PS2","21xt_footprints:TPSM83100SIUR","C20346010"
"AP2120N-5.0TRG1","PS3","21xt_footprints:AP2120N-5.0TRG1","C5854714"
"45.5","R1,R2,R3,R4,R5,R7,R14,R16,R17,R18,R19","Resistor_SMD:R_0402_1005Metric","C25105"
"80.6k","R10","Resistor_SMD:R_0402_1005Metric","C25905"
"806k","R11","Resistor_SMD:R_0402_1005Metric","C25792"
"100k","R12","Resistor_SMD:R_0402_1005Metric","C25741"
"5k","R13","Resistor_SMD:R_0402_1005Metric","C25905"
"200","R6","Resistor_SMD:R_0402_1005Metric","C25091"
"1k","R8","Resistor_SMD:R_0402_1005Metric","C11702"
"AD5626BRMZ","U2","21xt_footprints:AD5626","C649912"
